Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Landvik;SN38140;31.10.2005;4,8
Landvik;SN38140;01.11.2005;29,4
Landvik;SN38140;02.11.2005;3,7
Landvik;SN38140;03.11.2005;39,6
Landvik;SN38140;04.11.2005;45,6
Landvik;SN38140;05.11.2005;7,5
Landvik;SN38140;06.11.2005;14,9
Landvik;SN38140;07.11.2005;25,2
Landvik;SN38140;08.11.2005;1,7
Landvik;SN38140;09.11.2005;1,9
Landvik;SN38140;10.11.2005;0,3
Landvik;SN38140;11.11.2005;3
Landvik;SN38140;12.11.2005;6,9
Landvik;SN38140;13.11.2005;2,8
Landvik;SN38140;14.11.2005;0,1
Landvik;SN38140;15.11.2005;0,6
Landvik;SN38140;16.11.2005;0
Landvik;SN38140;17.11.2005;0,1
Landvik;SN38140;18.11.2005;0
Landvik;SN38140;19.11.2005;0
Landvik;SN38140;20.11.2005;0
Landvik;SN38140;21.11.2005;1,6
Landvik;SN38140;22.11.2005;0,1
Landvik;SN38140;23.11.2005;0,1
Landvik;SN38140;24.11.2005;0,4
Landvik;SN38140;25.11.2005;16
Landvik;SN38140;26.11.2005;18,2
Landvik;SN38140;27.11.2005;3,3
Landvik;SN38140;28.11.2005;1
Landvik;SN38140;29.11.2005;0
Landvik;SN38140;30.11.2005;0,1
Landvik;SN38140;01.12.2005;4,4
Landvik;SN38140;02.12.2005;7,1
Landvik;SN38140;03.12.2005;0,1
Landvik;SN38140;04.12.2005;6,2
Landvik;SN38140;05.12.2005;12,6
Landvik;SN38140;06.12.2005;15,4
Landvik;SN38140;07.12.2005;7
Landvik;SN38140;08.12.2005;3,9
Landvik;SN38140;09.12.2005;10,3
Landvik;SN38140;10.12.2005;0,2
Landvik;SN38140;11.12.2005;0,9
Landvik;SN38140;12.12.2005;0,1
Landvik;SN38140;13.12.2005;0,1
Landvik;SN38140;14.12.2005;0
Landvik;SN38140;15.12.2005;0
Landvik;SN38140;16.12.2005;0,1
Landvik;SN38140;17.12.2005;0
Landvik;SN38140;18.12.2005;0
Landvik;SN38140;19.12.2005;1,6
Landvik;SN38140;20.12.2005;7
Landvik;SN38140;21.12.2005;0
Landvik;SN38140;22.12.2005;3,3
Landvik;SN38140;23.12.2005;0
Landvik;SN38140;24.12.2005;0,9
Landvik;SN38140;25.12.2005;0,2
Landvik;SN38140;26.12.2005;0
Landvik;SN38140;27.12.2005;0
Landvik;SN38140;28.12.2005;0
Landvik;SN38140;29.12.2005;0,2
Landvik;SN38140;30.12.2005;0,7
Landvik;SN38140;31.12.2005;0,6
Landvik;SN38140;01.01.2006;4,3
Landvik;SN38140;02.01.2006;0,1
Landvik;SN38140;03.01.2006;0
Landvik;SN38140;04.01.2006;0
Landvik;SN38140;05.01.2006;0,1
Landvik;SN38140;06.01.2006;8,7
Landvik;SN38140;07.01.2006;6
Landvik;SN38140;08.01.2006;0,5
Landvik;SN38140;09.01.2006;2
Landvik;SN38140;10.01.2006;0,8
Landvik;SN38140;11.01.2006;3,2
Landvik;SN38140;12.01.2006;6,4
Landvik;SN38140;13.01.2006;0
Landvik;SN38140;14.01.2006;0,1
Landvik;SN38140;15.01.2006;0,9
Landvik;SN38140;16.01.2006;0
Landvik;SN38140;17.01.2006;1
Landvik;SN38140;18.01.2006;45,4
Landvik;SN38140;19.01.2006;4,7
Landvik;SN38140;20.01.2006;26,9
Landvik;SN38140;21.01.2006;26,8
Landvik;SN38140;22.01.2006;0,1
Landvik;SN38140;23.01.2006;1,1
Landvik;SN38140;24.01.2006;12,3
Landvik;SN38140;25.01.2006;4,5
Landvik;SN38140;26.01.2006;0
Landvik;SN38140;27.01.2006;0,1
Landvik;SN38140;28.01.2006;0
Landvik;SN38140;29.01.2006;0
Landvik;SN38140;30.01.2006;0
Landvik;SN38140;31.01.2006;0,1
Landvik;SN38140;01.02.2006;0
Landvik;SN38140;02.02.2006;0
Landvik;SN38140;03.02.2006;0
Landvik;SN38140;04.02.2006;0
Landvik;SN38140;05.02.2006;4,1
