Navn;Stasjon;Tid(norsk normaltid);Maksimum relativ luftfuktighet (døgn);Midlere relativ luftfuktighet (døgn);Minimum relativ luftfuktighet (døgn)
Torungen Fyr;SN36200;31.10.1960;96;91;86
Torungen Fyr;SN36200;01.11.1960;99;98;97
Torungen Fyr;SN36200;02.11.1960;99;97;96
Torungen Fyr;SN36200;03.11.1960;98;96;95
Torungen Fyr;SN36200;04.11.1960;97;95;95
Torungen Fyr;SN36200;05.11.1960;99;97;96
Torungen Fyr;SN36200;06.11.1960;91;81;74
Torungen Fyr;SN36200;07.11.1960;65;62;54
Torungen Fyr;SN36200;08.11.1960;98;81;71
Torungen Fyr;SN36200;09.11.1960;95;92;91
Torungen Fyr;SN36200;10.11.1960;95;88;79
Torungen Fyr;SN36200;11.11.1960;99;98;97
Torungen Fyr;SN36200;12.11.1960;99;97;97
Torungen Fyr;SN36200;13.11.1960;99;95;95
Torungen Fyr;SN36200;14.11.1960;98;96;96
Torungen Fyr;SN36200;15.11.1960;99;98;97
Torungen Fyr;SN36200;16.11.1960;99;98;97
Torungen Fyr;SN36200;17.11.1960;97;95;95
Torungen Fyr;SN36200;18.11.1960;98;95;90
Torungen Fyr;SN36200;19.11.1960;99;96;93
Torungen Fyr;SN36200;20.11.1960;91;87;85
Torungen Fyr;SN36200;21.11.1960;98;95;95
Torungen Fyr;SN36200;22.11.1960;99;97;96
Torungen Fyr;SN36200;23.11.1960;99;98;98
Torungen Fyr;SN36200;24.11.1960;99;99;99
Torungen Fyr;SN36200;25.11.1960;99;98;98
Torungen Fyr;SN36200;26.11.1960;99;98;97
Torungen Fyr;SN36200;27.11.1960;97;92;89
Torungen Fyr;SN36200;28.11.1960;97;90;83
Torungen Fyr;SN36200;29.11.1960;98;86;74
Torungen Fyr;SN36200;30.11.1960;99;98;97
Torungen Fyr;SN36200;01.12.1960;98;96;95
Torungen Fyr;SN36200;02.12.1960;97;95;95
Torungen Fyr;SN36200;03.12.1960;97;88;86
Torungen Fyr;SN36200;04.12.1960;97;96;96
Torungen Fyr;SN36200;05.12.1960;99;96;95
Torungen Fyr;SN36200;06.12.1960;97;95;94
Torungen Fyr;SN36200;07.12.1960;99;97;96
Torungen Fyr;SN36200;08.12.1960;74;69;66
Torungen Fyr;SN36200;09.12.1960;81;73;67
