Navn;Stasjon;Tid(norsk normaltid);Midlere lufttrykk i havnivå (døgn);Høyeste lufttrykk i havnivå (døgn);Laveste lufttrykk i havnivå (døgn);Svakeste middelvind fra hovedobs. (døgn);Kraftigste middelvind fra hovedobs. (døgn)
Torungen Fyr;SN36200;31.10.1960;1011;1012,4;1009,4;10,3;12,9
Torungen Fyr;SN36200;01.11.1960;1009,7;1012,5;1005,8;17,5;19
Torungen Fyr;SN36200;02.11.1960;988,6;991,6;984,4;4,1;19
Torungen Fyr;SN36200;03.11.1960;996,3;998,7;995,1;6,2;10,3
Torungen Fyr;SN36200;04.11.1960;990,9;992,6;989,4;4,6;11,8
Torungen Fyr;SN36200;05.11.1960;984,3;985,5;983,5;3,1;6,2
Torungen Fyr;SN36200;06.11.1960;998,5;1004,8;991,9;3,6;8,2
Torungen Fyr;SN36200;07.11.1960;1016,2;1019,2;1013,2;6,2;9,3
Torungen Fyr;SN36200;08.11.1960;1019,3;1020,2;1017,9;6,7;10,3
Torungen Fyr;SN36200;09.11.1960;1014,1;1015;1013;4,1;11,3
Torungen Fyr;SN36200;10.11.1960;1004,8;1007,7;1002,1;3,6;9,8
Torungen Fyr;SN36200;11.11.1960;1001;1003,1;999,3;3,1;11,3
Torungen Fyr;SN36200;12.11.1960;1013,8;1015,9;1010,9;6,2;10,3
Torungen Fyr;SN36200;13.11.1960;1015;1015,8;1014;9,8;12,9
Torungen Fyr;SN36200;14.11.1960;1011,9;1012,2;1011,5;9,3;13,4
Torungen Fyr;SN36200;15.11.1960;1007,5;1009;1005,2;12,3;14,4
Torungen Fyr;SN36200;16.11.1960;1005,1;1006,1;1003,9;6,2;10,8
Torungen Fyr;SN36200;17.11.1960;1009,6;1010,8;1007,7;4,1;6,2
Torungen Fyr;SN36200;18.11.1960;1012,9;1013,4;1012;5,1;10,3
Torungen Fyr;SN36200;19.11.1960;1011;1011,3;1010,9;9,3;11,3
Torungen Fyr;SN36200;20.11.1960;1015,1;1018,1;1012,3;7,2;9,3
Torungen Fyr;SN36200;21.11.1960;1020,4;1021;1019,7;8,2;12,3
Torungen Fyr;SN36200;22.11.1960;1013,5;1015,1;1011,8;9,3;14,9
Torungen Fyr;SN36200;23.11.1960;1002,9;1004,7;1001,6;5,1;13,4
Torungen Fyr;SN36200;24.11.1960;998,7;999,8;997,9;3,1;6,2
Torungen Fyr;SN36200;25.11.1960;991,5;992;990,7;4,1;10,3
Torungen Fyr;SN36200;26.11.1960;991,8;993,2;990,2;0;3,1
Torungen Fyr;SN36200;27.11.1960;995,9;997;994,7;2,6;7,7
Torungen Fyr;SN36200;28.11.1960;998,3;999,5;997,2;1,5;7,2
Torungen Fyr;SN36200;29.11.1960;1006,6;1008,8;1004,4;0;5,7
Torungen Fyr;SN36200;30.11.1960;1008,5;1010,6;1006,9;2,1;6,2
Torungen Fyr;SN36200;01.12.1960;1001,1;1002,1;1000,4;11,8;14,4
Torungen Fyr;SN36200;02.12.1960;998,6;998,8;998,3;6,7;17,5
