Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Middel av middelvind fra hovedobs. (døgn);Nedbør (døgn)
Torungen Fyr;SN36200;31.10.1960;3,5;5;2,5;11,5;0
Torungen Fyr;SN36200;01.11.1960;2,3;4,6;0,3;18,3;2
Torungen Fyr;SN36200;02.11.1960;3,3;5;0;13,5;32,7
Torungen Fyr;SN36200;03.11.1960;7,4;8,7;2,6;8,6;35,1
Torungen Fyr;SN36200;04.11.1960;7,2;9;5,3;7,2;8,5
Torungen Fyr;SN36200;05.11.1960;6,7;8,6;5,2;4,8;10,8
Torungen Fyr;SN36200;06.11.1960;5,7;8;4,4;5,6;9,5
Torungen Fyr;SN36200;07.11.1960;2,9;5,6;0,5;7,9;0
Torungen Fyr;SN36200;08.11.1960;0,9;2,6;-0,6;8,8;0
Torungen Fyr;SN36200;09.11.1960;0,8;2;-1;7,5;4,5
Torungen Fyr;SN36200;10.11.1960;2,2;5,6;-1;6,2;0
Torungen Fyr;SN36200;11.11.1960;6,2;7,1;4,9;7,2;2
Torungen Fyr;SN36200;12.11.1960;7,3;7,7;6,5;7,9;22,5
Torungen Fyr;SN36200;13.11.1960;5,8;7,5;5,2;11;1,4
Torungen Fyr;SN36200;14.11.1960;3,1;5,5;2;11,3;12,5
Torungen Fyr;SN36200;15.11.1960;2,8;4,9;1,8;13,5;6
Torungen Fyr;SN36200;16.11.1960;4,4;7,6;2,3;9,1;35
Torungen Fyr;SN36200;17.11.1960;4,3;7,5;2;4,8;38,3
Torungen Fyr;SN36200;18.11.1960;5;6,6;3,9;7,7;1,6
Torungen Fyr;SN36200;19.11.1960;2,6;4,8;1,2;10,6;3,7
Torungen Fyr;SN36200;20.11.1960;0;1,5;-0,6;8,2;5,7
Torungen Fyr;SN36200;21.11.1960;-1,6;0;-3,1;10,1;0
Torungen Fyr;SN36200;22.11.1960;2,4;5,8;-1;11,3;5,3
Torungen Fyr;SN36200;23.11.1960;1,9;4,9;1,5;9,3;27
Torungen Fyr;SN36200;24.11.1960;3,1;7;2;4,8;11,1
Torungen Fyr;SN36200;25.11.1960;6,8;8,2;3,1;6,7;19,6
Torungen Fyr;SN36200;26.11.1960;3,8;7,1;2,2;1,7;5,5
Torungen Fyr;SN36200;27.11.1960;2,7;5,3;0,2;4,8;0
Torungen Fyr;SN36200;28.11.1960;2,3;4,4;0,4;4,6;0
Torungen Fyr;SN36200;29.11.1960;0,5;2,6;-2;3,1;0
Torungen Fyr;SN36200;30.11.1960;1,4;4,2;0,4;4,8;0,2
Torungen Fyr;SN36200;01.12.1960;7,6;9;2;12,7;4,7
Torungen Fyr;SN36200;02.12.1960;8,1;9,4;7;12;3
Torungen Fyr;SN36200;03.12.1960;6,6;9;4,8;14,1;2
Torungen Fyr;SN36200;04.12.1960;3,2;6,6;2;5,6;11
Torungen Fyr;SN36200;05.12.1960;2,6;5;1,6;3,6;5,7
Torungen Fyr;SN36200;06.12.1960;0,6;1,8;-0,2;5,5;3
Torungen Fyr;SN36200;07.12.1960;0,3;2;-0,2;13,5;2,8
Torungen Fyr;SN36200;08.12.1960;-2,4;0;-3,4;13,5;6,3
Torungen Fyr;SN36200;09.12.1960;-4,3;-3;-5,6;10,3;0
Torungen Fyr;SN36200;10.12.1960;-6,6;-5;-7,5;11,5;0
Torungen Fyr;SN36200;11.12.1960;-4,8;-4;-7,6;10,1;0
Torungen Fyr;SN36200;12.12.1960;-7,3;-4,5;-10;4,6;0
Torungen Fyr;SN36200;13.12.1960;-3,7;-1,5;-10;5;0
Torungen Fyr;SN36200;14.12.1960;-1,1;0,5;-6;8,5;0
Torungen Fyr;SN36200;15.12.1960;1;1,4;-0,2;7,9;0
Torungen Fyr;SN36200;16.12.1960;3,5;5,8;0;9,3;0,7
Torungen Fyr;SN36200;17.12.1960;6,6;7,5;5;9,2;0,6
Torungen Fyr;SN36200;18.12.1960;4,6;7,5;2,5;5,1;0
Torungen Fyr;SN36200;19.12.1960;4,3;6,5;2;7,5;8
Torungen Fyr;SN36200;20.12.1960;3,5;4,2;2;7,2;5,8
Torungen Fyr;SN36200;21.12.1960;2;4;0,7;7;0
Torungen Fyr;SN36200;22.12.1960;-1,4;1,5;-2,6;4,6;1,5
Torungen Fyr;SN36200;23.12.1960;-1,6;-0,4;-4,8;7,9;0,4
Torungen Fyr;SN36200;24.12.1960;1,1;4;-2,1;2,6;3,7
Torungen Fyr;SN36200;25.12.1960;-1;2,1;-2,1;5,8;0
Torungen Fyr;SN36200;26.12.1960;5,5;7;-1;15,8;4,4
Torungen Fyr;SN36200;27.12.1960;5,4;7;3,2;10,8;27
Torungen Fyr;SN36200;28.12.1960;4,7;6;2,6;9,2;6
Torungen Fyr;SN36200;29.12.1960;2,4;4,6;1,4;6,4;2,7
Torungen Fyr;SN36200;30.12.1960;3,5;4,4;1,2;9,6;2,2
Torungen Fyr;SN36200;31.12.1960;2,3;3,8;1;9,1;0,6
Torungen Fyr;SN36200;01.01.1961;3,4;4;-1,9;8,6;3,4
Torungen Fyr;SN36200;02.01.1961;3,8;4,5;2,4;9,4;4,8
Torungen Fyr;SN36200;03.01.1961;3,1;4,3;1,4;14,8;3,8
Torungen Fyr;SN36200;04.01.1961;2,8;4,4;0,4;3,4;14
Torungen Fyr;SN36200;05.01.1961;1,1;4,1;-1,5;4,1;4,3
Torungen Fyr;SN36200;06.01.1961;-1,8;-1;-2,5;7,7;0,2
Torungen Fyr;SN36200;07.01.1961;-1;-0,2;-2,1;4;2,9
Torungen Fyr;SN36200;08.01.1961;-3;-1,1;-5,1;8,2;0
Torungen Fyr;SN36200;09.01.1961;-1,8;2,6;-3,2;16,4;12,2
Torungen Fyr;SN36200;10.01.1961;-2,8;-1,3;-4,7;3,9;8
Torungen Fyr;SN36200;11.01.1961;-5,9;-2,7;-8,2;7,2;0
Torungen Fyr;SN36200;12.01.1961;-3;3,8;-9,6;5,3;0
Torungen Fyr;SN36200;13.01.1961;4,5;6,5;2,9;6;3,5
Torungen Fyr;SN36200;14.01.1961;3,5;5,1;1,2;6,8;0
Torungen Fyr;SN36200;15.01.1961;4,8;6,7;1,3;4,3;0
Torungen Fyr;SN36200;16.01.1961;1,1;3,9;-1;3,8;0
Torungen Fyr;SN36200;17.01.1961;1,2;2,7;-0,6;3,8;0
Torungen Fyr;SN36200;18.01.1961;0,9;2,6;0,3;5,5;0
Torungen Fyr;SN36200;19.01.1961;-0,2;1,5;-1,4;6;0
Torungen Fyr;SN36200;20.01.1961;-2,2;1;-3;8,8;0
Torungen Fyr;SN36200;21.01.1961;-3,7;-1,5;-4,8;8,1;0
Torungen Fyr;SN36200;22.01.1961;-3,6;-2;-7;9,7;0
Torungen Fyr;SN36200;23.01.1961;-3,3;-1,2;-4;9,9;0,2
Torungen Fyr;SN36200;24.01.1961;-5,2;-3,8;-8;9,1;0
Torungen Fyr;SN36200;25.01.1961;-7,6;-4,5;-9,1;7,2;2
Torungen Fyr;SN36200;26.01.1961;-10;-2,6;-13,6;4,8;0
Torungen Fyr;SN36200;27.01.1961;-1;0,6;-5;10,8;0
Torungen Fyr;SN36200;28.01.1961;3,5;5;-2,5;8,6;5,1
Torungen Fyr;SN36200;29.01.1961;2,9;5;0,5;10,6;10,8
Torungen Fyr;SN36200;30.01.1961;5,1;6,6;-0,6;10,5;8,5
Torungen Fyr;SN36200;31.01.1961;3,7;5;2,5;8,1;0
Torungen Fyr;SN36200;01.02.1961;0,9;4;0,4;5,8;0,2
Torungen Fyr;SN36200;02.02.1961;0,2;1;-0,5;8,4;5,5
Torungen Fyr;SN36200;03.02.1961;-3,9;0,6;-5,6;4,3;0
Torungen Fyr;SN36200;04.02.1961;-4,2;-1,5;-6,8;2,2;0
Torungen Fyr;SN36200;05.02.1961;-3,6;0,4;-8;3,8;0
Torungen Fyr;SN36200;06.02.1961;2,1;3,6;-1,6;7,5;5
Torungen Fyr;SN36200;07.02.1961;4,4;6,6;1,5;6,3;12,7
Torungen Fyr;SN36200;08.02.1961;3,7;7;2;6,2;0
Torungen Fyr;SN36200;09.02.1961;0,2;2,6;-1;9,6;5
Torungen Fyr;SN36200;10.02.1961;1,6;4;-1,3;6,3;0,5
Torungen Fyr;SN36200;11.02.1961;3,5;5;2;7,2;2
Torungen Fyr;SN36200;12.02.1961;1,2;4;-0,5;2,1;0
Torungen Fyr;SN36200;13.02.1961;1;2;-2,2;2,4;0
Torungen Fyr;SN36200;14.02.1961;3,5;4,6;0,5;9,3;2
Torungen Fyr;SN36200;15.02.1961;4,2;5;3,2;6;0
Torungen Fyr;SN36200;16.02.1961;4,6;7,2;1;10;0
Torungen Fyr;SN36200;17.02.1961;5;6,7;3,4;9,1;0
Torungen Fyr;SN36200;18.02.1961;4;5,6;2,5;7,7;0
Torungen Fyr;SN36200;19.02.1961;6,5;10;3;6;0
Torungen Fyr;SN36200;20.02.1961;5;6,6;3;9,9;0
Torungen Fyr;SN36200;21.02.1961;5,4;7,5;3,5;6;0
Torungen Fyr;SN36200;22.02.1961;1,4;6,1;0,2;4,1;0
Torungen Fyr;SN36200;23.02.1961;1,8;2,9;0;4,6;0
Torungen Fyr;SN36200;24.02.1961;-0,3;2,1;-1,6;11,2;0
Torungen Fyr;SN36200;25.02.1961;2,9;3,8;-0,8;5,7;5,2
Torungen Fyr;SN36200;26.02.1961;4,6;5,8;2,4;8,6;10,2
Torungen Fyr;SN36200;27.02.1961;5,6;8;3,5;11,2;8,5
Torungen Fyr;SN36200;28.02.1961;3,1;6;1,8;3,4;0
Torungen Fyr;SN36200;01.03.1961;3;8,9;-0,2;5,1;0,1
Torungen Fyr;SN36200;02.03.1961;3;6;0,4;3,6;0
Torungen Fyr;SN36200;03.03.1961;4,7;10;1,5;5,8;1,6
Torungen Fyr;SN36200;04.03.1961;5,7;9,6;4,3;9,4;0
Torungen Fyr;SN36200;05.03.1961;6,1;10;3;8,2;0
Torungen Fyr;SN36200;06.03.1961;4,4;7,5;2,6;8,2;0
Torungen Fyr;SN36200;07.03.1961;7,2;10,5;3;6,8;0
Torungen Fyr;SN36200;08.03.1961;8,2;12,5;3,3;8,9;0
Torungen Fyr;SN36200;09.03.1961;6,5;10,4;5;8,9;0
Torungen Fyr;SN36200;10.03.1961;4,3;6,5;3,1;10,3;0
Torungen Fyr;SN36200;11.03.1961;6,4;9,3;3,5;9,6;0
Torungen Fyr;SN36200;12.03.1961;7,8;11;5;12,5;0
Torungen Fyr;SN36200;13.03.1961;4,4;9,1;2,1;3,5;0
Torungen Fyr;SN36200;14.03.1961;7;14;2,5;7,2;0,1
Torungen Fyr;SN36200;15.03.1961;7,6;12,6;6,2;9,9;0
Torungen Fyr;SN36200;16.03.1961;9,6;13;5;10,6;0
Torungen Fyr;SN36200;17.03.1961;5,3;9,8;4;6,5;0
Torungen Fyr;SN36200;18.03.1961;5,9;9,6;3,4;11;0
Torungen Fyr;SN36200;19.03.1961;2,7;6;-1;6,2;0
Torungen Fyr;SN36200;20.03.1961;1,6;4,9;0,2;9,6;0
Torungen Fyr;SN36200;21.03.1961;2,1;4,1;-0,4;8,4;6
Torungen Fyr;SN36200;22.03.1961;7,2;12,1;0;7,9;0
Torungen Fyr;SN36200;23.03.1961;8,9;12;5,8;12,2;0
Torungen Fyr;SN36200;24.03.1961;7,8;11,2;4,6;8,6;0
Torungen Fyr;SN36200;25.03.1961;7,7;10,5;4,6;9,3;0
Torungen Fyr;SN36200;26.03.1961;5,4;9,5;2;13,6;0
Torungen Fyr;SN36200;27.03.1961;3,4;4,8;2;11;1,2
Torungen Fyr;SN36200;28.03.1961;3,5;5,5;1;9,3;0
Torungen Fyr;SN36200;29.03.1961;3,9;9,2;-0,6;4,8;0
Torungen Fyr;SN36200;30.03.1961;3,2;8,2;0,5;7;4,3
Torungen Fyr;SN36200;31.03.1961;1,6;4,8;-0,6;5,1;0
Torungen Fyr;SN36200;01.04.1961;0,3;3,8;-2,2;7,3;0
Torungen Fyr;SN36200;02.04.1961;0,7;3,9;-3;7;0
Torungen Fyr;SN36200;03.04.1961;1,1;4,4;-2,1;6;0
Torungen Fyr;SN36200;04.04.1961;2,4;6;-0,6;5,7;2,2
Torungen Fyr;SN36200;05.04.1961;2,2;5,4;0,6;12,4;0
Torungen Fyr;SN36200;06.04.1961;1,8;3;0,6;5,1;7
Torungen Fyr;SN36200;07.04.1961;4,2;6;1,8;5;5
Torungen Fyr;SN36200;08.04.1961;3,5;8,5;-0,1;8,2;0
Torungen Fyr;SN36200;09.04.1961;3,3;9;-0,5;5,1;0
Torungen Fyr;SN36200;10.04.1961;3;6,4;-0,8;4,3;0
Torungen Fyr;SN36200;11.04.1961;4,5;5,9;3;5;0
Torungen Fyr;SN36200;12.04.1961;4,9;6,5;3;5,7;0
Torungen Fyr;SN36200;13.04.1961;4,8;6,5;3,1;5,9;0,5
Torungen Fyr;SN36200;14.04.1961;5,8;6,8;5;4,1;2
Torungen Fyr;SN36200;15.04.1961;6;7,5;4,6;7,7;0,6
Torungen Fyr;SN36200;16.04.1961;5,9;10;2,2;5;0
Torungen Fyr;SN36200;17.04.1961;4,6;8,1;0;8,6;0
Torungen Fyr;SN36200;18.04.1961;8;12,4;3,4;5,8;0
Torungen Fyr;SN36200;19.04.1961;6;11;3,5;6,7;0
Torungen Fyr;SN36200;20.04.1961;6,6;8;4,8;8,2;0
Torungen Fyr;SN36200;21.04.1961;6,6;8,4;5,6;7,5;0
Torungen Fyr;SN36200;22.04.1961;7,4;9,6;5,8;10,1;0,6
Torungen Fyr;SN36200;23.04.1961;8,7;10,8;7,2;11,5;0
Torungen Fyr;SN36200;24.04.1961;9,5;11,9;8,4;11,5;0
Torungen Fyr;SN36200;25.04.1961;8,6;11,8;7;7;0
Torungen Fyr;SN36200;26.04.1961;9,7;13,2;7,4;8,4;0
Torungen Fyr;SN36200;27.04.1961;10,4;13,6;6,9;9,1;0
Torungen Fyr;SN36200;28.04.1961;8,8;13,6;8;11,7;0
Torungen Fyr;SN36200;29.04.1961;7,6;9,5;6,1;5,5;0
Torungen Fyr;SN36200;30.04.1961;8,4;11;4,3;3,1;0
Torungen Fyr;SN36200;01.05.1961;8,9;10,7;6,5;5,8;0
Torungen Fyr;SN36200;02.05.1961;8,4;9,7;6,7;7,7;0
Torungen Fyr;SN36200;03.05.1961;8,3;9,5;7,6;5,7;7,2
Torungen Fyr;SN36200;04.05.1961;8,5;10,6;6,6;3,1;12,7
Torungen Fyr;SN36200;05.05.1961;9,1;10,2;7,8;8,1;1,5
Torungen Fyr;SN36200;06.05.1961;10,2;14;8,6;11;18,9
Torungen Fyr;SN36200;07.05.1961;9,2;11,5;7,5;7,7;2,5
Torungen Fyr;SN36200;08.05.1961;8,3;13;6,2;8,8;3,4
Torungen Fyr;SN36200;09.05.1961;10,7;14,5;9;5,8;0
Torungen Fyr;SN36200;10.05.1961;11,1;14,5;8;6,5;0
Torungen Fyr;SN36200;11.05.1961;9,8;13,5;7,7;7,2;0
Torungen Fyr;SN36200;12.05.1961;10,6;16;7,5;6;0
Torungen Fyr;SN36200;13.05.1961;10,6;15;7,5;7;0
Torungen Fyr;SN36200;14.05.1961;10,5;13;8,4;7,5;0
Torungen Fyr;SN36200;15.05.1961;11;13,2;8,4;6;0
Torungen Fyr;SN36200;16.05.1961;10,9;13,7;7,9;2,4;0
Torungen Fyr;SN36200;17.05.1961;12;14,4;10;5,8;0
Torungen Fyr;SN36200;18.05.1961;11,8;13,5;7,8;7;0
Torungen Fyr;SN36200;19.05.1961;9,8;14;7,5;5,3;0
Torungen Fyr;SN36200;20.05.1961;10,7;13,4;8;7,6;0
Torungen Fyr;SN36200;21.05.1961;10,9;13,3;7,3;8,1;0
Torungen Fyr;SN36200;22.05.1961;9,8;13,3;7,4;8,1;0
Torungen Fyr;SN36200;23.05.1961;11,5;17;8,2;6,2;0
Torungen Fyr;SN36200;24.05.1961;12,5;16;10;11,3;0
Torungen Fyr;SN36200;25.05.1961;11,6;16,2;6;8,4;0
Torungen Fyr;SN36200;26.05.1961;11,2;15,5;6,5;8,2;0
Torungen Fyr;SN36200;27.05.1961;7,5;12,8;3,3;3,8;0
Torungen Fyr;SN36200;28.05.1961;9,6;12,4;5,5;5,1;0,3
Torungen Fyr;SN36200;29.05.1961;8,8;12,8;5,4;6,3;0
Torungen Fyr;SN36200;30.05.1961;11;16;6,5;7,5;2,5
Torungen Fyr;SN36200;31.05.1961;14,4;17;13,4;10,1;0,4
Torungen Fyr;SN36200;01.06.1961;11,9;14,5;10,7;5;19,1
Torungen Fyr;SN36200;02.06.1961;12,9;15,5;10,3;2,1;19
Torungen Fyr;SN36200;03.06.1961;14,5;17,2;11,4;4,8;0
Torungen Fyr;SN36200;04.06.1961;14,9;18;10,6;4,3;0
Torungen Fyr;SN36200;05.06.1961;15,1;18,2;11,4;6;0
Torungen Fyr;SN36200;06.06.1961;16,8;20;12,4;1,9;0
Torungen Fyr;SN36200;07.06.1961;17,5;20,8;14,9;4,5;0
Torungen Fyr;SN36200;08.06.1961;15,4;18,6;14,2;9,6;5
Torungen Fyr;SN36200;09.06.1961;13,1;15;12;6,4;0
Torungen Fyr;SN36200;10.06.1961;12,7;14,3;11,5;8,6;1
Torungen Fyr;SN36200;11.06.1961;12,7;14,4;10;7,4;0
Torungen Fyr;SN36200;12.06.1961;13,6;17;10,6;3,9;0
Torungen Fyr;SN36200;13.06.1961;13,1;16;10,6;5;1
Torungen Fyr;SN36200;14.06.1961;14,5;16,1;12,4;6,8;2,6
Torungen Fyr;SN36200;15.06.1961;14,8;17,4;10,5;6,5;0
Torungen Fyr;SN36200;16.06.1961;15,7;18,4;11,7;9,3;0
Torungen Fyr;SN36200;17.06.1961;14,1;18,4;13;11;0
Torungen Fyr;SN36200;18.06.1961;14,1;16,8;11,6;12;5,6
Torungen Fyr;SN36200;19.06.1961;12,7;16;9,5;11,3;0
Torungen Fyr;SN36200;20.06.1961;12,7;16,6;9;8,7;0
Torungen Fyr;SN36200;21.06.1961;11,7;16,4;8,6;8,1;0
Torungen Fyr;SN36200;22.06.1961;11,5;14;10,5;9,8;0,3
Torungen Fyr;SN36200;23.06.1961;12,4;17;9,6;10,8;3
Torungen Fyr;SN36200;24.06.1961;13,1;17;11,1;11,8;0
Torungen Fyr;SN36200;25.06.1961;13,3;17,5;11,2;10,6;0
Torungen Fyr;SN36200;26.06.1961;11,8;16,4;10;4,4;0
Torungen Fyr;SN36200;27.06.1961;12,6;15,9;9,2;5,5;0
Torungen Fyr;SN36200;28.06.1961;14,6;18,4;11,4;11,1;0
Torungen Fyr;SN36200;29.06.1961;15;20,4;12,2;9,3;0
Torungen Fyr;SN36200;30.06.1961;14,2;17;12,4;9,9;0
Torungen Fyr;SN36200;01.07.1961;15;17,1;12,6;5,3;0
Torungen Fyr;SN36200;02.07.1961;16,3;18,5;14,7;7,9;0
Torungen Fyr;SN36200;03.07.1961;16,5;20,8;13,2;7,2;0
Torungen Fyr;SN36200;04.07.1961;12,7;16,9;10,9;4,8;0,4
Torungen Fyr;SN36200;05.07.1961;13,6;16,6;10,9;5,8;2,8
Torungen Fyr;SN36200;06.07.1961;14,9;17,4;11,9;6,4;0
Torungen Fyr;SN36200;07.07.1961;14,6;18,1;11,5;7;0
Torungen Fyr;SN36200;08.07.1961;13,7;15,7;12,9;7,4;0
Torungen Fyr;SN36200;09.07.1961;13;14,5;12;6,7;20,7
Torungen Fyr;SN36200;10.07.1961;14,5;17;11,6;4,6;20,7
Torungen Fyr;SN36200;11.07.1961;14,7;17,4;11,3;8,1;2,6
